id,id_harga_beras,id_group
1210,23834,24
1211,23843,87
1212,23844,87
1213,23849,87
1214,23852,87
1215,23859,87
1216,23862,87
1217,23866,87
1218,23868,87
1219,23874,115
1220,23875,115
1221,23876,115
1222,23884,115
1223,23886,115
1224,23917,115
1225,23918,115
1226,23919,115
1227,23931,115
1228,23964,115
1229,23965,115
1230,23966,115
1231,23978,115
1232,23980,115
1233,24016,115
1234,24018,115
1235,24028,115
1236,24030,115
1237,24061,115
1238,24063,115
1239,24076,115
1240,24078,115
1241,24115,115
1242,24116,115
1243,24117,115
1244,24129,115
1245,24131,115
1246,24169,115
1247,24170,115
1248,24183,115
1249,24185,115
1250,24221,115
1251,24222,115
1252,24235,115
1253,24269,115
1254,24270,115
1255,24282,115
1256,24316,115
1257,24323,115
1258,24329,115
1259,24331,115
1260,24359,155
1261,24367,115
1262,24368,115
1263,24374,115
1264,24380,115
1265,24382,115
1266,24418,115
1267,24419,115
1268,24426,115
1269,24431,115
1270,24433,115
1271,24474,115
1272,24480,115
1273,24487,115
1274,24489,115
1275,24532,115
1276,24539,115
1277,24545,115
1278,24547,115
1279,24590,115
1280,24596,115
1281,24601,115
1282,24635,115
1283,24636,115
1284,24647,115
1285,24680,115
1286,24681,115
1287,24695,115
1288,24697,115
1289,24706,156
1290,24740,115
1291,24752,115
1292,24754,115
1293,24794,115
1294,24807,115
1295,24809,115
1296,24846,115
1297,24847,115
1298,24860,115
1299,24862,115
1300,24899,115
1301,24900,115
1302,24911,115
1303,24948,115
1304,24959,115
1305,24994,115
1306,25005,115
1307,25007,115
1308,25043,115
1309,25044,115
1310,25056,115
1311,25058,115
1312,25099,115
1313,25100,115
1314,25120,115
1315,25171,115
1316,25172,115
1317,25194,115
1318,25218,157
1319,25248,115
1320,25270,115
1321,25276,115
1322,25294,157
1323,25324,115
1324,25325,115
1325,25346,115
1326,25397,115
1327,25416,115
1328,25473,115
1329,25512,115
1330,25533,115
1331,25586,115
1332,25605,115
1333,25611,158
1334,25651,115
1335,25657,115
1336,25672,115
1337,25681,158
1338,25725,115
1339,25729,115
1340,25744,115
1341,25749,115
1342,25766,158
1343,25793,115
1344,25799,115
1345,25814,115
1346,25866,115
1347,25904,159
1348,25930,115
1349,25958,159
1350,25970,159
1351,25997,115
1352,25998,115
1353,26005,115
1354,26019,115
1355,26039,159
1356,26041,159
1357,26069,115
1358,26070,115
1359,26076,115
1360,26077,115
1361,26091,115
1362,26113,159
1363,26114,159
1364,26143,115
1365,26150,115
1366,26170,115
1367,26186,159
1368,26214,115
1369,26235,115
1370,26277,115
1371,26283,115
1372,26303,115
1373,26309,115
1374,26312,160
1375,26352,115
1376,26436,115
1377,26478,115
1378,26500,115
1379,26505,115
1380,26550,115
1381,26551,115
1382,26571,115
1383,26621,115
1384,26640,115
1385,26687,115
1386,26708,115
1387,26717,161
1388,26730,161
1389,26756,115
1390,26776,115
1391,26844,115
1392,26852,162
1393,26910,115
1394,26918,162
1395,26956,115
1396,26977,115
1397,27001,162
1398,27029,115
1399,27038,115
1400,27052,115
1401,27062,162
1402,27077,162
1403,27106,115
1404,27128,115
1405,27180,115
1406,27201,115
1407,27250,115
1408,27270,115
1409,27276,115
1410,27321,115
1411,27322,115
1412,27343,115
1413,27395,115
1414,27396,115
1415,27416,115
1416,27423,163
1417,27461,115
1418,27462,115
1419,27491,163
1420,27502,163
1421,27531,115
1422,27551,115
1423,27561,163
1424,27574,163
1425,27602,115
1426,27623,115
1427,27628,115
1428,27644,163
1429,27671,115
1430,27692,115
1431,27711,163
1432,27738,115
1433,27756,115
1434,27762,115
1435,27766,163
1436,27805,115
1437,27806,115
1438,27822,115
1439,27830,163
1440,27867,115
1441,27868,115
1442,27888,115
1443,27896,163
1444,27936,115
1445,27937,115
1446,27964,115
1447,28009,115
1448,28010,115
1449,28036,115
1450,28081,115
1451,28110,164
1452,28149,115
1453,28175,115
1454,28218,115
1455,28219,115
1456,28286,115
