row_id,id,cluster_id
1037,244363,27
1038,244364,27
1039,244366,4
1040,244367,4
1041,244369,27
1042,244370,27
1043,244372,4
1044,244373,4
1045,244375,27
1046,244376,27
1047,244378,4
1048,244379,4
1049,244381,27
1050,244382,27
1051,244384,4
1052,244385,4
1053,244387,27
1054,244388,27
1055,244390,4
1056,244391,4
1057,244393,27
1058,244394,27
1059,244396,4
1060,244397,4
1061,244399,27
1062,244400,27
1063,244402,4
1064,244403,4
1065,244405,27
1066,244406,27
1067,244408,4
1068,244409,4
1069,244411,27
1070,244412,27
1071,244414,4
1072,244415,4
1073,244417,27
1074,244418,27
1075,244420,4
1076,244421,4
1077,244423,27
1078,244424,27
1079,244426,4
1080,244427,4
1081,244429,27
1082,244430,27
1083,244432,4
1084,244433,4
1085,244435,27
1086,244436,27
1087,244438,4
1088,244439,4
1089,244441,27
1090,244442,27
1091,244444,4
1092,244445,4
1093,244447,27
1094,244448,27
1095,244450,4
1096,244451,4
1097,244453,27
1098,244454,27
1099,244456,27
1100,244457,27
1101,244459,4
1102,244460,4
1103,244462,27
1104,244463,27
1105,244465,4
1106,244466,4
1107,244468,27
1108,244469,27
1109,244471,4
1110,244472,4
1111,244474,27
1112,244475,27
1113,244477,4
1114,244478,4
1115,244480,27
1116,244481,27
1117,244483,4
1118,244484,4
1119,244486,27
1120,244487,27
1121,244489,4
1122,244490,4
1123,244492,27
1124,244493,27
1125,244495,4
1126,244496,4
1127,244498,27
1128,244499,27
1129,244501,4
1130,244502,4
1131,244504,27
1132,244505,27
1133,244507,4
1134,244508,4
1135,244510,4
1136,244511,4
1137,244513,27
1138,244514,27
1139,244516,4
1140,244517,4
1141,244519,27
1142,244520,27
1143,244522,27
1144,244523,27
1145,244528,27
1146,244529,27
1147,244531,4
1148,244532,4
1149,244534,27
1150,244535,27
1151,245313,11
1152,245335,11
1153,245347,33
1154,245349,33
1155,245351,33
1156,245352,33
1157,245357,33
1158,245363,33
1159,245364,33
1160,245367,33
1161,245371,33
1162,245376,11
1163,245402,33
1164,245403,33
1165,245412,33
1166,245413,33
1167,245433,19
1168,245436,19
1169,245442,19
1170,245453,44
1171,245467,19
1172,245473,19
1173,245481,19
1174,245494,44
1175,245501,4
1176,245502,27
1177,245503,4
1178,245504,27
1179,245505,4
1180,245506,27
1181,245507,4
1182,245508,27
1183,245509,4
1184,245510,27
1185,245511,4
1186,245512,27
1187,245513,4
1188,245514,27
1189,245515,4
1190,245516,27
1191,245517,4
1192,245518,27
1193,245519,4
1194,245520,27
1195,245521,4
1196,245522,27
1197,245523,4
1198,245524,27
1199,245525,4
1200,245526,27
1201,245527,4
1202,245528,27
1203,245529,4
1204,245530,27
1205,245531,4
1206,245532,27
1207,245533,4
1208,245534,27
1209,245535,4
1210,245536,27
1211,245537,4
1212,245538,27
1213,245539,4
1214,245540,27
1215,245541,4
1216,245542,27
1217,245543,4
1218,245544,27
1219,245545,4
1220,245546,27
1221,245547,4
1222,245548,27
1223,245549,27
1224,245550,4
1225,245551,27
1226,245552,4
1227,245553,27
1228,245554,4
1229,245555,27
1230,245556,4
1231,245557,27
1232,245558,4
1233,245559,27
1234,245560,4
1235,245561,27
1236,245562,4
1237,245563,27
1238,245564,4
1239,245565,27
1240,245566,4
1241,245567,4
1242,245568,27
1243,245569,4
1244,245570,27
1245,245571,27
1246,245573,27
1247,245574,4
1248,245575,27
1249,245576,4
1250,245577,27
1251,245578,4
1252,245579,27
1253,245580,4
1254,245581,27
1255,245582,4
1256,245583,27
1257,245584,4
1258,245585,27
1259,245586,4
1260,245587,27
1261,245588,4
1262,245589,27
1263,245590,4
1264,245591,27
1265,245592,4
1266,245593,27
1267,245594,4
1268,245595,27
1269,245596,4
1270,245597,27
1271,245598,4
1272,245599,27
1273,245600,4
1274,245601,27
1275,245602,4
1276,245603,27
1277,245604,4
1278,245605,27
1279,245606,4
1280,245607,27
1281,245608,4
1282,245609,27
1283,245610,4
1284,245611,27
1285,245612,4
1286,245613,27
1287,245614,4
1288,245615,27
1289,245616,4
1290,245617,27
1291,245618,4
1292,245619,27
1293,245620,4
1294,245621,27
1295,245622,4
1296,245623,27
1297,245624,27
1298,245625,4
1299,245626,27
1300,245627,4
1301,245628,27
1302,245629,4
1303,245630,27
1304,245631,4
1305,245632,27
1306,245633,4
1307,245634,27
1308,245635,4
1309,245636,27
1310,245637,4
1311,245638,27
1312,245639,4
1313,245640,27
1314,245641,4
1315,245642,4
1316,245643,27
1317,245644,4
1318,245645,27
1319,245646,27
1320,245648,27
1321,245649,4
1322,245650,27
